"Notice ID","Title","Description","Current Response Date","Last Modified Date","Last Published Date","Contract Opportunity Type","POC Information","Active/Inactive","Awardee","Contract Award Number","Contract Award Date","NAICS","PSC","Modification Number","Set Aside"
"W911KB25R0019","FTG257 MISSILE FIELD 2 POWER REDUNDANCY","This is a Request for Proposal (RFP) for a standalone 8(a) competitive contract. The purpose of the project is to provide electrical power redundancy to the Missile Field 2 silo interface vaults by adding Automatic Transfer Switches and Main Lug Only distribution panels with Molded Case Circuit Breakers. The SUS A and B switchgear will be physically separated, have enhanced coordination/protection features incorporated, and will be converted from a Main-Tie-Main to a Main Tie-Tie-Main configuration. Additionally, the Power Control and Monitoring System (PCMS) and Power Quality Monitoring System (PQMS) will be extended to Missile Field 2.TO RECEIVE A COPY OF THE SOLICITATION PLEASE EMAIL BRITTNEY MORRISON AT BRITTNEY.MORRISON@USACE.ARMY.MIL AND MICHELLE NELSEN AT MICHELLE.NELSEN@USACE.ARMY.MIL","Apr 22, 2025 02:00 PM AKDT","Mar 28, 2025","Mar 28, 2025","Solicitation","Brittney Morrison | Michelle Nelsen","Active","N/A","N/A","N/A","Power and Communication Line and Related Structures Construction","CONSTRUCTION OF MISSILE SYSTEM FACILITIES","N/A","8(a) Set-Aside (FAR 19.8)"
"70LCHS25RPFB00001","Student Support/Facilities Operation Maintenance Services","The Federal Law Enforcement Training Centers, Charleston, South Carolina has a dual requirement for Student Support and Facilities Operating Maintenance Services. Potential contractors must provide comprehensive facilities operating and student support services to the Department of Homeland Security, Federal Law Enforcement Training Center, and its ancillary support facilities, located in Charleston, South Carolina. The Government will be using innovative procurement techniques for this award in order to maximize competition. Only one solicitation will be issued for the two requirements; however, the Government will be evaluating tasks separately and may or may not award two, single-award contracts as a result of this solicitation. Student support services include such activities as operation and cleaning of dormitories, operation of the dining facility, pick-up and transportation of students to various locations, janitorial, recreation services, warehouse and post office support, and training support services of various types (such as providing range masters, role players for practical exercises, computer laboratory support, equipment issue, etc) solicitation 70LCHS25RPFB00001. Facility-based services include activities such as janitorial services, facility and grounds maintenance, office equipment and furniture cleaning and movement. The contractor must also provide labor, equipment, transportation, administrative support, training and supplies necessary to ensure competent and productive performance of services in accordance with the terms and conditions described in the Performance Work Statement solicitation 70LCHS25RPFB00002. The Government contemplates award of two (2) Single Award, Indefinite Delivery Indefinite Quantity (IDIQ) contracts to include Firm-Fixed Price (FFP) and Other than Firm Fixed Price (OTFFP) CLINS resulting from this solicitation. This requirement is set-aside as a competitive 8(a) with the Small Business Administration. The NAICS Code is 561210 with a small business size standard of $47.0 million. The period of performance for this contract shall consist of one base year from date of award through September 30, 2025 plus four one year option periods. All communication will be in writing only and should be submitted to the Contracting Officer’s via the email addresses that are provided in this notice. Please be advised that Phase 1 of this solicitation ends 12:00 P.M. ET, March 6,2025. All submissions for Phase 1 shall be submitted prior to that deadline and no late submissions will be accepted. Please see Section L and Section M for submission details.","Apr 09, 2025 12:00 PM EDT","Mar 28, 2025","Mar 28, 2025","Solicitation","Queen H. Singleton | Tyshawn Neals","Active","N/A","N/A","N/A","Facilities Support Services","FACILITIES OPERATIONS SUPPORT SVCS","N/A","8(a) Set-Aside (FAR 19.8)"
"W912EK25BA001","MISSISSIPPI RIVER BASIN, ROCK ISLAND ARSENAL, ROCK ISLAND, ILLINOIS, NORTH ANNEX EMERGENCY OPERATIONS CENTER AND DISTRICT CONFERENCE ROOMS","ATTENTION Due to SAM.GOV limitations at the time of release not all of the files that are needed are posted. The files: Reference file on the past window replacement Reference file on the past central heating system Please email Joseph Porter and Jeffrey Voss at the following emails and you will get a link to additional files via DoD Safe: Joseph.e.porter@usace.army.mil Jeffrey.r.voss@usace.army.mil PROJECT TITLE: NORTH ANNEX EMERGENCY OPERATIONS CENTER AND DISTRICT CONFERENCE ROOM PROJECT LOCATION: ROCK ISLAND, IL ESTIMATED RANGE: $5,000,000 - $10,000,000 COMPLETION DAYS: 365 CONSECUTIVE CALENDAR DAYS NAICS CODE: 236220 - SIZE STANDARD $45,000,000 WOMEN-OWNED SMALL BUSINESS SET-ASIDE (WOSB) - INVITATION FOR BID (IFB) QUESTIONS REGARDING THIS PROJECT SHALL BE SUBMITTED VIA PROJNET.","Apr 30, 2025 10:00 AM CDT","Mar 28, 2025","Mar 28, 2025","Solicitation","Joe Porter | Jeffrey R. Voss","Active","N/A","N/A","N/A","Commercial and Institutional Building Construction","CONSTRUCTION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE)","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"SP330025Q0104","DDAA SPI Containers","This Combined Synopsis/Solicitation (CSS) is being issued to establish a firm-fixed-price (FFP) purchase order for SPI containers. The Government intends to award one (1) purchase order as a result of this CSS which will be issued on a Standard Form (SF) 1449. This solicitation is being issued as a 100% Women-Owned Small-Business (WOSB) set-aside. The Product Service Code (PSC) for this requirement is 8115 (Boxes, Cartons, and Crates) and the North American Industry Classification System (NAICS) code is 321920 with a size standard of 500 employees. Amendment 0001 is hereby incorporated into this solicitation as of 03/28/2025.","Apr 04, 2025 03:00 PM EDT","Mar 28, 2025","Mar 28, 2025","Combined Synopsis/Solicitation","Morgan Costanzo","Active","N/A","N/A","N/A","Wood Container and Pallet Manufacturing","BOXES, CARTONS, AND CRATES","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"FA252125B0005","KSCC 18-1525 Construct Vehicle Barriers","Project Title: Construct Vehicle Barriers at PS7, VIF N/S, Cx 41 Project Location: Kennedy Space Center, Florida This is a solicitation for a Firm-Fixed-Price Construction Contract for Space Launch Delta 45, Kennedy Space Center, FL. Notice to Offerors: Funds are not presently available for this project. The Governments obligation under this contract is contingent upon the availability of appropriated funds from which payment for contract purposes can be made. No legal liability on the part of the Government for any payment may arise until funds are made available to the Contracting Officer for this contract and until the Contractor receives notice of such availability, to be confirmed in writing by the Contracting Officer. The Government reserves the right to cancel this invitation for bid, either before or after the closing date. In the event the Government cancels this invitation of bid, the Government has no obligation to reimburse an offeror for any costs. The Magnitude of this project is between $500,000 and $1,000,000. (In accordance with FAR 36.204). The NAICS code is 236220 and the size standard is $45.0 M. THIS ACQUISITION IS BEING ISSUED AS A WOMEN-OWNED SMALL BUSINESS (WOSB) ELIGIBLE UNDER THE WOSB PROGRAM SET-ASIDE. OFFERORS NOT MEETING THIS CRITERIA WILL BE DEEMED NONRESPONSIVE AND INELIGIBLE FOR AWARD. KEY DATES: Badge Request Due for Site Visit: 2 April 2025 @ 12:00 PM EST Site Visit: 8 April 2025 @ 9:00 AM EST (please arrive at least 15 minutes prior) Questions Due: 10 April 2025 @12:00 PM EST Bids Due: 29 April 2025 @ 9:30 AM EST Bid Opening: 29 April 2025 @ 10:30 AM EST *All further information can be found in the attached documents. Please send all correspondence to the POCs listed in block 10 of the SF 1442 solicitation document.","Apr 29, 2025 09:30 AM EDT","Mar 28, 2025","Mar 28, 2025","Solicitation","2d Lt. Charles Cowart | Patricia A. Bates, Contracting Officer","Active","N/A","N/A","N/A","Commercial and Institutional Building Construction","CONSTRUCTION OF OTHER NON-BUILDING FACILITIES","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"FA857125Q0054","Robins North- Facility Maintenance Support, Grounds Maintenance, Pest Control, Dumpster Services, and Boiler Maintenance","This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR subpart 12.6 as supplemented with additional information included in this notice. This announcement constitutes the only solicitation being issued; quotes are being requested and a written solicitation will not be issued. This solicitation is being conducted under Simplified Acquisition Procedures (SAP) as a Request for Quote (RFQ) No. FA857125Q0054. This solicitation will be solicited under 100% Women Owned Small Business (WOSB) Set Aside. The contractor shall provide tools, materials, personnel, labor, and services to perform facility maintenance support, grounds maintenance, pest control, dumpster services, and boiler maintenance at the Robins North Complex located at 1821 Avondale Mill Road Macon GA 31216. The complex includes a main facility (185,000 sf), Building 1 A (9,360 sf), nine (9) trailers (five (5) 572 sf, two (2) 858 sf and two (2) 975 sf), four existing mezzanines (800 sf each), one new office mezzanine (1,080 sf), two (2) new pit floor level mezzanines (3,080 sf each), HAZMAT building (1344 sf) and exterior awnings (775 sf and 8,000 sf). The objective of this effort is to provide facility maintenance activities in a timely manner to ensure systems are fully operational capable for Commodities Maintenance Group (CMXG), Robins Air Force Base, Georgia. The Government anticipates there will be no separately priced Contract Data Requirements Lists (CDRLS). SITE VISIT INFORMATION This requirement is a Women Owned Small Business (WOSB) set-aside. All potential offerors that classify as a ""Women Owned Small Business"" are invited to attend the site visit for the ""FACILITY MAINTENANCE SUPPORT, GROUNDS MAINTENANCE, PEST CONTROL, DUMPSTER SERVICES, & BOILER MAINTENANCE"" requirement. If attending, there is a limit of 2 representatives per company. RSVP is not required, but would be greatly appreciated if you plan to attend the visit. If you would like to RSVP, please email ""phillip.richardson.2@us.af.mil"" and ""andrea.cervantes.1@us.af.mil"" by COB Wednesday, 19 March 2025. The visit will take place at the Robins North Complex (1821 Avondale Mill Road, Macon,GA 31216) on Thursday, 20 March 2025 at 1:00 p.m. EST. Please note that the site visit is NOT MANDATORY, but potential offerors are highly encouraged to attend. If you are not able to attend, that DOES NOT disqualify you from proposing on this effort. All questions and answers from the visit will be posted as an attachment to the solicitation on SAM.gov. If you have any questions after the visit, please submit them to the individuals listed below by COB 24 March 2025. If you have any questions or concerns, feel free to contact phillip.richardson.2@us.af.mil and andrea.cervantes.1@us.af.mil. ***25 March 2025- The purpose of this amendment (0001) is to extend the solicitation's due date to 4 April 2025 @ 3:00 PM EST. Additionally, to incorporate a revised Performance Work Statement (PWS) dated 21 March 2025 that includes the new alternate Government Representative.*** *** 26 March 2025- The purpose of this amendment (0002) is to incorporate a revised Performance Work Statement (PWS) dated 25 March 2025. Paragraphs 1.2.3, 1.2.3.1, and 1.2.3.2 have been modified.*** Additionally, the sign in sheet from the site visit that occured on 20 March 2025 has been added to the attachments on SAM. *** 28 March 2025 - Q&A document dated 28 March 2025 has been added to the attachments on SAM.","Apr 04, 2025 03:00 PM EDT","Mar 28, 2025","Mar 28, 2025","Combined Synopsis/Solicitation","Andrea Cervantes | Phillip Richardson","Active","N/A","N/A","N/A","Facilities Support Services","FACILITIES OPERATIONS SUPPORT SVCS","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"EQ9PMF-25-0014","Custodial and Related Services for TSA/DEA at the Los Angeles International Airport (LAX) located in Los Angeles, CA.","This is a SOURCES SOUGHT ANNOUNCEMENT ONLY. It is neither a solicitation announcement nor a request for quote (RFQ) and it does not obligate the Government to award a contract. The purpose of this sources sought announcement is for market research to make the appropriate acquisition decisions and to gain knowledge of potential qualified sources and their Small Business Administration (SBA) size classification in relation to North American Industry Classification System (NAICS) 561720. This is an announcement for 8(a) contractors only solely for informational and market research purposes for CUSTODIAL SERVICES for the Los Angeles International Airport (LAX) located at One World Way, Los Angeles, CA and 651 World Way, Los Angeles. TOTAL SQUARE FOOTAGE: 22,325 sq. ft. ANTICIPATED PERIOD OF PERFORMANCE: The period of performance is anticipated to be from 01/01/2026 thru 12/31/2030 for one base year and four options. (Subject to change at the discretion of the Government) The General Services Administration (GSA), Region 9 - Public Building Services (PBS) is seeking for a 8(a) contractor who can provide custodial services to include but not limited to the following: Furnish all personnel, labor, equipment, materials, tools, supplies, supervision, management, training/certifications, and services, except as may be expressly set forth as Government furnished, and otherwise accomplish all actions necessary to or incident to, perform and provide the work efforts described in the contract. Ensure their employees are properly trained, licensed and/or certified to operate necessary building systems or equipment for which licensed and/or certified personnel are required by Federal, State, or local laws; codes, or ordinances. Be responsible to make the management and operational decisions to meet the quality performance standards required under this contract. Use innovation, technology and other means and methods to develop and perform the most efficient cleaning services for the building. Implement an effective Quality Control Plan (QCP). Implement an effective service call system that results in prompt, professional, and courteous resolution of tenant concerns. Keep the Contracting Officer (CO) or their designee informed of current status of the work being performed; provide all submittals and other pertinent information needed by the CO or their designee. This requirement is subject to Department of Labor’s (DOL) Service Contract Labor Standard (SCLS) Wage Determination for this location, per Federal Acquisition Regulations (FAR) Subpart 22.10 – Service Contract Labor Standards. This acquisition will set aside 100% for the Small Business 8(a) program. The offeror must be a small business 8(a) firm and capable of performing work under the NAICS Classification 561720 (Janitorial Services). The contemplated NAICS code is 561720 and size standard is $22 million. This notice in no way obligates the Government to any further action. SUBMISSION OF INFORMATION: Interested parties having capabilities necessary to meet or exceed the stated requirements are invited to provide a Capability Statement to contribute to this market research/Sources Sought Notice including commercial market information and company information. All responses to this Sources Sought Notice must be recieved no later than April 16, 2025 at 4:00 P.M. (PST) via email to scott.haubert@gsa.gov and tanya,wirth@gsa.gov. When responding via email, ensure the following title is within the subject line of the email: “SOURCES SOUGHT: LAX Custodial Services – 2025 and that the submitted Capability Statement includes the following information: Company name, address, phone number, and point of contact. Company UEI and Cage number. Company Tax Identification Number (TIN). Capability Statement not to exceed five (5) pages to include the company’s experience, knowledge, and past performance history related to the custodial services referenced in this sources sought (font shall be no smaller than 10-point). The capability statement should address the following items: Capability of contractor to have sufficient experience, expertise, and certifications to provide operations and maintenance of the total square footage as noted above in Building Statistics. Evidence of current and/or past experience in work similar in type and scope to include contract numbers, project titles, and dollar amounts, points of contact and telephone numbers. If two companies are planning to conduct business and submit an offer as a Joint Venture or similar type of teaming agreement, they are requested to provide past performance information on projects of similar scope that they have performed together as a Joint Venture, if available. Providing individual past performance documentation from each company on separate projects where the two did not work together may be considered less relevant. Contractor’s capability of meeting the Security Requirements governed by GSAR 552.237-70, 552.237-71 and FAR 52.204-9. Proof of active 8(a) Certification from the Small Business Administration’s (SBA) Dynamic Small Business Search (DSBS) - https://web.sba.gov/pro-net/search/dsp_dsbs.cfm. Current active SAM’s registration from www.sam.gov. Questions regarding this Sources Sought may be emailed to scott.haubert@gsa.gov and tanya.wirth@gsa.gov. This IS NOT a request for proposals (RFP/RFQ). All responses are voluntary, and the Government is not obligated to any costs associated to a submitted response to this announcement. Disclaimer and Important Notes: This Sources Sought Notice is for market research purposes only and does not constitute a Request for Proposal/Quotation; and, it is not considered to be a commitment by the Government to award a contract nor will the Government pay for any information provided; no basis for claim against the Government shall arise as a result from a response to this Sources Sought Notice or Government use of any information provided.","Apr 16, 2025 04:00 PM PDT","Mar 28, 2025","Mar 28, 2025","Sources Sought","Scott Haubert","Active","N/A","N/A","N/A","Janitorial Services","HOUSEKEEPING- CUSTODIAL JANITORIAL","N/A","8(a) Set-Aside (FAR 19.8)"
"SPMYM4-25-Q-0335","2 1/2"" BALL VALVE","Please see the attached solicitation. DLA Maritime Pearl Harbor requests qualified vendors to submit offers for the attached amended Solicitation: SPMYM4-25-Q-0335. All submitted quotes must contain the name of the manufacturer of the material to be considered for award. Quotes will be due by 12:00 A.M. Hawaii Standard Time (HST) on 1 April 2025 and may be emailed to angela.morrelli.civ@us.navy.mil. A full list of required material and associated specifications are written on the attached solicitation. The material to be acquired in accordance with Federal Acquisition Regulation (FAR) Part 12 - Acquisition of Commercial Items and FAR Part 13 - Simplified Acquisition Procedures. The solicitation is for 100% Small Business vendors. The North American Industry Classification System code for this acquisition is 332911. The solicitation will be posted and available on 04/01/2025. By submitting a quote, the vendor will be self-certifying that neither the requestor nor the principal corporate official and owners are currently suspended, debarred, or otherwise ineligible to receive contracts from any federal agency. Failure to do so may represent grounds for refusing to accept the quote. Through its submission, the vendor acknowledges the requirement that a prospective awardee must be registered in the System for Award Management (SAM) database prior to award, during performance and through final payment of any contract resulting from this solicitation. Lack of registration in the SAM database will make a vendor ineligible for award. Vendor may obtain information on registration and annual confirmation by calling 866-606-8220 or via the SAM website: https://www.sam.gov. Please make sure that the solicitation number (SPMYM4-25-Q-0335) is included in the subject line of any email correspondence. All quotes shall include price(s), FOB destination, a point of contact (name and phone number), Tax I.D. #, Unique Entity I.D., Cage Code, GSA contract number (if applicable), business size, and payment terms. Each response must clearly indicate the vendor's capability to meet all specifications and requirements.","Apr 01, 2025 12:00 PM HST","Mar 28, 2025","Mar 28, 2025","Solicitation","ANGELA MORRELLI","Active","N/A","N/A","N/A","Industrial Valve Manufacturing ","VALVES, NONPOWERED","N/A","8(a) Set-Aside (FAR 19.8)"
"SPMYM4-25-Q-0259-U0001","FITTING, CONDUIT","Please see the attached solicitation. DLA Maritime Pearl Harbor requests qualified vendors to submit offers for the attached amended Solicitation: SPMYM4-25-Q-0259U0001. All submitted quotes must contain the name of the manufacturer of the material to be considered for award. Quotes will be due by 12:00 A.M. Hawaii Standard Time (HST) on 31 March 2025 and may be emailed to angela.morrelli.civ@us.navy.mil. A full list of required material and associated specifications are written on the attached solicitation. The material to be acquired in accordance with Federal Acquisition Regulation (FAR) Part 12 - Acquisition of Commercial Items and FAR Part 13 - Simplified Acquisition Procedures. The solicitation is for 100% Small Business vendors. The North American Industry Classification System code for this acquisition is 326122. The solicitation will be posted and available on 03/31/2025. By submitting a quote, the vendor will be self-certifying that neither the requestor nor the principal corporate official and owners are currently suspended, debarred, or otherwise ineligible to receive contracts from any federal agency. Failure to do so may represent grounds for refusing to accept the quote. Through its submission, the vendor acknowledges the requirement that a prospective awardee must be registered in the System for Award Management (SAM) database prior to award, during performance and through final payment of any contract resulting from this solicitation. Lack of registration in the SAM database will make a vendor ineligible for award. Vendor may obtain information on registration and annual confirmation by calling 866-606-8220 or via the SAM website: https://www.sam.gov. Please make sure that the solicitation number (SPMYM4-25-Q-0259) is included in the subject line of any email correspondence. All quotes shall include price(s), FOB destination, a point of contact (name and phone number), Tax I.D. #, Unique Entity I.D., Cage Code, GSA contract number (if applicable), business size, and payment terms. Each response must clearly indicate the vendor's capability to meet all specifications and requirements.","Mar 31, 2025 12:00 AM HST","Mar 28, 2025","Mar 28, 2025","Solicitation","ANGELA MORRELLI","Active","N/A","N/A","N/A","Plastics Pipe and Pipe Fitting Manufacturing","ELECTRICAL HARDWARE AND SUPPLIES","N/A","8(a) Set-Aside (FAR 19.8)"
"N6134025R0004-0007","internal Contractor Support Services (iCSS) Special Notice 0007","This special notice is to: Provide industry with notice that the Government is expected to issue Amendment 0002 to RFP N6134025R0004 in the near future. Offerors are advised that the upcoming Amendment will reflect updates to Attachment J-5 Wage Determination, Attachment L-4 Past Performance Information Form, Attachment L-6 Contract Cost Summary Attachment, L-7 Minimum Labor Wage Rate and Attachment L-8 Government Responses to Industry Questions. Further, Sections L and M will be updated to reflect changes. Majority of the changes are in reference to the following topics: page limits, escalation, minimum wage rate calculation, evidence of a facility clearance and evidence for Similarly Situated Entities. The Government anticipates extending proposal submission to 3:00pm (EDT) on Tuesday, 29 April 25.” No response is required or desired from industry for this special notice.","Apr 10, 2025 03:00 PM EDT","Mar 27, 2025","Mar 27, 2025","Sources Sought","Michael Yucht | Alana Nunez-Bennett","Active","N/A","N/A","N/A","Engineering Services","ENGINEERING AND TECHNICAL SERVICES","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
